# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-2.5-flash
#   API Key: GEMINI_API_KEY
#   Batch Size: 80
#   Number of Examples: 1012
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=348523, candidates=12629, total=393595, time=48127ms, TPS=3810.8322115765304.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠐⠬⠆⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠐⠬⠂⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <--bad MathML--><math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass=\"INNER\"><mo data-mjx-texclass=\"OPEN\">{</mo><mtable columnalign=\"left left\" columnspacing=\"1em\" rowspacing=\".2em\"><mtr><mtd><mo>−</mo><mo stretchy=\"false\">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy=\"false\">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn></mtd><mtd><mtext>if </mtext><mi>x</mi><mo>&lt;</mo><mn>0</mn></mtd></mtr><mtr><mtd><mstyle displaystyle=\"true\" scriptlevel=\"0\"><mfrac><mn>1</mn><mn>2</mn></mfrac></mstyle><mo stretchy=\"false\">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy=\"false\">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn></mtd><mtd><mtext>if </mtext><mi>x</mi><mo>≥</mo><mn>0</mn></mtd></mtr></mtable><mo data-mjx-texclass=\"CLOSE\" fence=\"true\" stretchy=\"true\" symmetric=\"true\"/></mrow></mrow></math>
✗ | ⠏⠷⠤⠆⠾⠠ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠏⠷⠆⠾⠠ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠭⠀⠐⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠏⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠰⠏⠀⠿ | <math> <mrow> <mi>p</mi> <mo>?</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>?</mo> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠏⠷⠭⠾⠀⠨⠅⠀⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠡⠛⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠠⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠋⠷⠭⠾⠠⠀⠭⠀⠐⠅⠀⠁⠀⣍⠛⠷⠭⠾⠠⠀⠭⠀⠨⠂⠱⠀⠁⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></mtd></mtr><mtr><mtd><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mi>a</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <--bad MathML--><math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass=\"INNER\"><mo data-mjx-texclass=\"OPEN\">{</mo><mtable columnalign=\"left left\" columnspacing=\"1em\" rowspacing=\".2em\"><mtr><mtd><mi>f</mi><mo stretchy=\"false\">(</mo><mi>x</mi><mo stretchy=\"false\">)</mo></mtd><mtd><mtext>if </mtext><mi>x</mi><mo>&lt;</mo><mi>a</mi></mtd></mtr><mtr><mtd><mi>g</mi><mo stretchy=\"false">(</mo><mi>x</mi><mo stretchy=\"false">)</mo></mtd><mtd><mtext>if </mtext><mi>x</mi><mo>≥</mo><mi>a</mi></mtd></mtr></mtable><mo data-mjx-texclass=\"CLOSE\" fence=\"true\" stretchy=\"true\" symmetric=\"true\"/></mrow></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠷⠋⠤⠛⠾⠷⠭⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠞⠤⠆ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠷⠹⠋⠌⠛⠼⠾⠷⠞⠾⠀⠨⠅ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <--bad MathML--><math><mrow><mrow data-mjx-texclass=\"INNER\"><mo data-mjx-texclass=\"OPEN\">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass=\"CLOSE\">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠬⠭⠘⠆ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>+</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>+</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math>
✓ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠒⠾⠀⠨⠅ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠒⠾⠬⠛⠷⠒⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠤⠆⠾⠀⠨⠅ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠷⠋⠬⠛⠾⠷⠤⠆⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠼⠂ | <math> <mn>1</mn> </math> | <math> <mn>1</mn> </math>
✓ | ⠼⠒ | <math> <mn>3</mn> </math> | <math> <mn>3</mn> </math>
✓ | ⠤⠼⠲ | <math> <mrow> <mo>-</mo> <mn>4</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>4</mn> </mrow> </math>
✓ | ⠷⠋⠤⠛⠾⠷⠲⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠷⠹⠋⠌⠛⠼⠾⠷⠲⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠎⠷⠞⠾⠀⠨⠅⠀⠼⠢⠤⠒⠞⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠛⠷⠞⠾⠀⠨⠅⠀⠷⠹⠎⠌⠗⠼⠾⠷⠞⠾ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠟⠷⠞⠾⠀⠨⠅⠀⠷⠎⠨⠡⠗⠾⠷⠞⠾ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠰⠎ | <math> <mi>s</mi> </math> | <math> <mi>s</mi> </math>
✓ | ⠽⠀⠨⠅⠀⠎⠷⠞⠾ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠛⠷⠭⠾ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠷⠎⠡⠛⠾⠷⠂⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠷⠎⠨⠡⠛⠾⠷⠂⠨⠢⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠙⠠ | <math> <mrow> <mi>d</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>d</mi> <mo>,</mo> </mrow> </math>
✓ | ⠼⠆⠨⠲ | <math> <mn>2.4</mn> </math> | <math> <mn>2.4</mn> </math>
✓ | ⠼⠆⠖⠨⠆ | <math> <mn>26.2</mn> </math> | <math> <mn>26.2</mn> </math>
✓ | ⠼⠴⠨⠴⠢ | <math> <mn>0.05</mn> </math> | <math> <mn>0.05</mn> </math>
✓ | ⠼⠴⠨⠴⠒ | <math> <mn>0.03</mn> </math> | <math> <mn>0.03</mn> </math>
✓ | ⠎⠷⠞⠾ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠉⠕⠎⠀⠷⠞⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠷⠤⠹⠨⠏⠌⠆⠼⠠⠀⠹⠨⠏⠌⠆⠼⠾⠠ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠞⠀⠨⠅⠀⠁⠗⠉⠞⠁⠝⠀⠷⠽⠾⠸⠲ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
